Name,Team,Age,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,PTS/G,TS%,USG%,EXP,DPOSS,DRAYMOND
Hassan Whiteside,POR,30,0,0.2,0.125,5.4,9.2,0.581,1.5,3.4,0.449,12.3,0.564,22.6,7,3489.593,2.885669
Kent Bazemore,POR,30,1.4,4.5,0.32,2.7,5.8,0.465,1.9,2.6,0.726,11.6,0.507,22,7,3658.071,-1.071889
Andrew Wiggins,MIN,23,1.6,4.8,0.339,5.2,11.8,0.441,2.8,4.1,0.699,18.1,0.493,24.4,5,5400.167,0.142695
Robert Covington,MIN,28,2.5,6.7,0.372,2.3,4.4,0.526,2.3,3,0.773,14.5,0.58,16.5,6,2548.346,0.6856105
Karl-Anthony Towns,MIN,23,1.8,4.6,0.4,7,12.5,0.562,4.9,5.8,0.836,24.4,0.622,28.9,4,5391.688,0.5300236
Jeff Teague,MIN,30,0.8,2.5,0.333,3.4,7.4,0.453,2.9,3.6,0.804,12.1,0.528,19.3,10,2695.48,-0.0653465
Josh Okogie,MIN,20,0.8,2.9,0.279,1.8,4,0.464,1.6,2.2,0.728,7.7,0.492,15.4,1,3830.26,-1.453986
Gorgui Dieng,MIN,29,0.3,0.7,0.339,2.2,4.2,0.53,1.2,1.4,0.83,6.4,0.572,19.6,6,2246.506,-0.5938165
Noah Vonleh,MIN,23,0.7,2,0.336,2.4,4.5,0.531,1.6,2.3,0.712,8.4,0.561,14.8,5,3662.479,0.0821514
Steven Adams,OKC,25,0,0,0,6,10.1,0.596,1.8,3.7,0.5,13.9,0.591,16.4,6,6187.478,0.7765805
Dennis Schroder,OKC,25,1.6,4.6,0.341,4.2,9.4,0.45,2.4,2.9,0.819,15.5,0.508,24.2,6,5384.671,-0.4165751
Terrance Ferguson,OKC,20,1.4,3.9,0.366,1.1,1.9,0.56,0.5,0.7,0.725,6.9,0.566,10.6,2,4803.834,-1.142614
Nerlens Noel,OKC,24,0,0,0,2.1,3.6,0.587,0.7,1,0.684,4.9,0.608,13.8,5,2437.404,2.148894
Chris Paul,OKC,34,2.2,6.1,0.358,3,6.3,0.479,3,3.5,0.862,15.6,0.56,22.5,14,4742.603,-0.8897975
Shai Gilgeous-Alexander,OKC,21,0.6,1.7,0.367,3.5,7,0.503,1.9,2.4,0.8,10.8,0.554,18.3,1,5090.393,0.8690116
Danilo Gallinari,OKC,31,2.4,5.5,0.433,3.6,7.5,0.484,5.4,6,0.904,19.8,0.633,23.8,10,4817.624,-0.6468472
Devin Booker,PHO,22,2.1,6.5,0.326,7,13.1,0.536,6.1,7.1,0.866,26.6,0.584,32.9,4,4792.275,-0.9290657
Tyler Johnson,PHO,26,1.4,4.3,0.321,2.2,5.3,0.406,2.6,3,0.872,11.1,0.506,16.5,5,3241.272,-0.1681149
Deandre Ayton,PHO,20,0,0.1,0,7.2,12.2,0.588,2,2.7,0.746,16.3,0.608,21.1,1,4644.787,0.6161702
Mikal Bridges,PHO,22,1.3,3.8,0.335,1.7,3,0.548,1.2,1.4,0.805,8.3,0.556,12.2,1,5175.905,-0.9787985
Kelly Oubre Jr.,PHO,23,1.7,5.2,0.325,4.4,8.3,0.532,3,4,0.761,16.9,0.555,24.7,4,4215.466,-0.5606395
Dario Saric,PHO,25,1.4,3.7,0.383,2.3,4.6,0.511,1.5,1.8,0.875,10.5,0.579,17.8,3,4370.715,0.1064823
Ricky Rubio,PHO,28,1.2,3.7,0.311,3.2,7,0.454,2.9,3.4,0.855,12.7,0.52,22.7,8,4413.723,-1.438614
DeMar DeRozan,SAS,29,0.1,0.6,0.156,8.1,16.5,0.492,4.8,5.7,0.83,21.2,0.542,27.9,10,6022.795,-0.9552971
LaMarcus Aldridge,SAS,33,0.1,0.5,0.238,8.3,15.8,0.528,4.3,5.1,0.847,21.3,0.576,26.9,13,6012.034,1.818261
Bryn Forbes,SAS,25,2.1,5,0.426,2.3,4.6,0.489,0.8,1,0.885,11.8,0.586,17.4,3,5199.527,-1.823379
Rudy Gay,SAS,32,1.1,2.7,0.402,4.4,8.1,0.537,1.7,2.1,0.816,13.7,0.583,22.1,13,4215.781,0.6931447
Patty Mills,SAS,30,1.9,4.9,0.394,1.5,3.2,0.475,1.1,1.3,0.854,9.9,0.572,18.5,10,4431.046,-0.9606175
DeMarre Carroll,SAS,33,1.6,4.6,0.342,1.8,4,0.457,2.7,3.6,0.76,11.1,0.546,18.6,10,6022.795,-0.5368994
Dejounte Murray,SAS,22,0.1,0.4,0.265,3.2,7.1,0.454,1.3,1.8,0.709,8.1,0.485,20.7,2,3758.679,-0.3437103
Tobias Harris,PHI,26,1.6,5,0.326,5.3,9.8,0.542,2.7,3.3,0.841,18.2,0.562,21.3,8,6998.17,-0.2383566
Ben Simmons,PHI,22,0,0.1,0,6.8,12.1,0.566,3.3,5.4,0.6,16.9,0.582,22.1,2,6761.323,0.9704571
Joel Embiid,PHI,24,1.2,4.1,0.3,7.8,14.6,0.535,8.2,10.1,0.804,27.5,0.593,33.3,3,5419.188,2.396293
Mike Scott,PHI,30,1.8,4.4,0.412,1,2.6,0.38,0.4,0.6,0.667,7.8,0.537,13.8,7,3519.863,-0.3210672
James Ennis III,PHI,28,0.6,2,0.306,1.3,2.6,0.489,0.9,1.3,0.696,5.3,0.51,15.5,5,3105.211,-2.681576
Al Horford,PHI,33,1.1,3,0.36,4.6,7.6,0.604,1.1,1.4,0.821,13.6,0.605,18.9,12,4834.457,1.1816
Josh Richardson,PHI,25,2.2,6.3,0.357,3.5,7.8,0.458,2.7,3.2,0.861,16.6,0.536,20.9,4,5296.459,0.1574163
James Harden,HOU,29,4.8,13.2,0.368,6,11.3,0.528,9.7,11,0.879,36.1,0.616,40.5,10,6753.953,1.395982
PJ Tucker,HOU,33,1.8,4.7,0.377,0.7,1.7,0.449,0.5,0.7,0.695,7.3,0.547,9.5,8,6631.786,0.8450865
Clint Capela,HOU,24,0,0,0,7.1,10.9,0.648,2.5,3.9,0.636,16.6,0.658,18.2,5,5312.979,1.12802
Eric Gordon,HOU,30,3.2,8.8,0.36,2.5,5,0.497,1.8,2.2,0.783,16.2,0.549,22,11,5347.29,0.4548846
Austin Rivers,HOU,26,1.5,4.7,0.321,1.8,3.3,0.541,0.5,1,0.51,8.7,0.511,13.9,7,4753.252,0.1088961
Gerald Green,HOU,33,2.1,6,0.354,1,1.9,0.547,0.8,0.9,0.838,9.2,0.555,19.5,12,3323.961,-1.431377
Russell Westbrook,HOU,30,1.6,5.6,0.29,7,14.5,0.481,4.1,6.2,0.656,22.9,0.501,30.9,11,6193.348,-0.8365771
Kyle Lowry,TOR,32,2.4,7,0.347,2.3,4.4,0.514,2.5,3,0.83,14.2,0.562,19.6,13,6510.273,0.5748281
Pascal Siakam,TOR,24,1,2.7,0.369,5.5,9.1,0.602,3,3.8,0.785,16.9,0.628,20.8,3,7195.181,1.646219
Fred VanVleet,TOR,24,1.8,4.6,0.378,2.1,4.8,0.441,1.5,1.8,0.843,11,0.539,17.9,3,4882.097,0.0783559
Serge Ibaka,TOR,29,0.7,2.3,0.29,5.6,9.6,0.586,1.8,2.4,0.763,15,0.582,22.9,10,5257.827,2.625908
Marc Gasol,TOR,34,0.9,2,0.442,2.5,5.2,0.474,1.5,2,0.769,9.1,0.565,16.3,11,6447.902,0.7448357
Norman Powell,TOR,25,1.1,2.8,0.4,2.1,3.8,0.543,1,1.3,0.827,8.6,0.596,19,4,3206.835,0.7082186
Rondae Hollis-Jefferson,TOR,24,0.2,0.8,0.184,3.2,7.4,0.436,2,3.1,0.645,8.9,0.464,21.6,4,2846.572,0.1121688
Blake Griffin,DET,29,2.5,7,0.362,5.7,10.9,0.525,5.5,7.3,0.753,24.5,0.581,30.2,9,5537.955,-0.6091988
Andre Drummond,DET,25,0.1,0.5,0.132,7,12.8,0.548,3.1,5.2,0.59,17.3,0.555,22.9,7,5708.754,1.014774
Reggie Jackson,DET,28,2.1,5.7,0.369,3.3,7,0.464,2.5,2.9,0.864,15.4,0.547,24.5,8,4971.177,-1.822489
Luke Kennard,DET,22,1.7,4.3,0.394,1.9,4,0.486,0.8,1,0.836,9.7,0.56,18.1,2,3218.379,-1.212631
Langston Galloway,DET,27,1.7,4.8,0.355,1.2,2.6,0.449,1,1.2,0.844,8.4,0.534,16.1,5,3888.201,0.242397
Derrick Rose,DET,30,1.1,2.9,0.37,6.1,11.9,0.509,2.7,3.1,0.856,18,0.557,27.3,10,3019.77,0.2653291
Markieff Morris,DET,29,1.4,4.2,0.333,2.8,5.4,0.516,1.7,2.1,0.781,11.5,0.475,18,8,2863.223,0.9401299
Jrue Holiday,NOP,28,1.8,5.4,0.325,6.4,11.9,0.539,3.1,4,0.768,21.2,0.555,25.4,10,5232.857,0.241559
E'Twaun Moore,NOP,29,1.4,3.3,0.432,3.4,6.7,0.506,0.8,1.1,0.763,11.9,0.567,17.3,8,3186.902,-1.435305
Darius Miller,NOP,28,1.9,5.3,0.365,0.8,1.7,0.467,0.8,1,0.789,8.2,0.55,13.4,5,3861.374,0.6968749
